"id";"value";"time";"read"
82;0.994409;"1619462118.8809";"0"
79;1.00338;"1619462118.1309";"0"
84;0.991847;"1619462119.3809";"0"
83;0.998253;"1619462119.1309";"0"
81;0.998253;"1619462118.6309";"0"
80;1.00081;"1619462118.3809";"0"
89;0.991847;"1619462120.6309";"0"
88;0.998253;"1619462120.3809";"0"
85;0.99569;"1619462119.6309";"0"
90;0.993128;"1619462120.8809";"0"
86;0.996971;"1619462119.8809";"0"
87;0.991847;"1619462120.1309";"0"
93;0.998253;"1619462121.6309";"0"
94;0.993128;"1619462121.8809";"0"
96;0.996971;"1619462122.3809";"0"
91;0.99569;"1619462121.1309";"0"
95;0.991847;"1619462122.1309";"0"
92;0.991847;"1619462121.3809";"0"
98;0.986723;"1619462122.8809";"0"
99;0.990566;"1619462123.1309";"0"
101;0.986723;"1619462123.6309";"0"
102;0.984161;"1619462123.8809";"0"
100;0.98288;"1619462123.3809";"0"
97;0.993128;"1619462122.6309";"0"
106;0.98288;"1619462124.8809";"0"
107;0.981599;"1619462125.1309";"0"
105;0.986723;"1619462124.6309";"0"
104;0.985442;"1619462124.3809";"0"
103;0.984161;"1619462124.1309";"0"
108;0.980318;"1619462125.3809";"0"
112;0.980318;"1619462126.3809";"0"
111;0.98288;"1619462126.1309";"0"
113;0.984161;"1619462126.6309";"0"
109;0.985442;"1619462125.6309";"0"
110;0.979037;"1619462125.8809";"0"
114;0.985442;"1619462126.8809";"0"
117;0.975194;"1619462127.6309";"0"
116;0.981599;"1619462127.3809";"0"
119;0.977756;"1619462128.1309";"0"
115;0.980318;"1619462127.1309";"0"
118;0.979037;"1619462127.8809";"0"
120;0.975194;"1619462128.3809";"0"
126;0.97007;"1619462129.8809";"0"
124;0.971351;"1619462129.3809";"0"
123;0.968789;"1619462129.1309";"0"
125;0.971351;"1619462129.6309";"0"
121;0.971351;"1619462128.6309";"0"
122;0.967508;"1619462128.8809";"0"
128;0.966227;"1619462130.3809";"0"
129;0.976475;"1619462130.6309";"0"
132;1.01362;"1619462131.3809";"0"
130;0.976475;"1619462130.8809";"0"
127;0.968789;"1619462130.1309";"0"
131;1.0021;"1619462131.1309";"0"
134;1.02515;"1619462131.8809";"0"
135;1.02131;"1619462132.1309";"0"
136;1.02259;"1619462132.3809";"0"
138;1.02387;"1619462132.8809";"0"
133;1.01875;"1619462131.6309";"0"
137;1.02131;"1619462132.6309";"0"
140;1.02644;"1619462133.3809";"0"
139;1.02644;"1619462133.1309";"0"
142;1.0354;"1619462133.8809";"0"
141;1.02772;"1619462133.6309";"0"
143;1.04565;"1619462134.1309";"0"
144;1.06999;"1619462134.3809";"0"
147;1.09433;"1619462135.1309";"0"
149;1.12123;"1619462135.6309";"0"
148;1.10458;"1619462135.3809";"0"
146;1.07255;"1619462134.8809";"0"
145;1.07255;"1619462134.6309";"0"
150;1.12507;"1619462135.8809";"0"
156;1.12635;"1619462137.3809";"0"
151;1.12123;"1619462136.1309";"0"
153;1.12764;"1619462136.6309";"0"
152;1.12507;"1619462136.3809";"0"
155;1.12635;"1619462137.1309";"0"
154;1.1302;"1619462136.8809";"0"
157;1.12892;"1619462137.6309";"0"
159;1.12379;"1619462138.1309";"0"
158;1.12379;"1619462137.8809";"0"
160;1.11867;"1619462138.3809";"0"
162;1.11483;"1619462138.8809";"0"
161;1.11354;"1619462138.6309";"0"
167;1.11739;"1619462140.1309";"0"
165;1.10842;"1619462139.6309";"0"
164;1.11354;"1619462139.3809";"0"
163;1.10714;"1619462139.1309";"0"
168;1.11611;"1619462140.3809";"0"
166;1.11098;"1619462139.8809";"0"
170;1.12123;"1619462140.8809";"0"
174;1.12379;"1619462141.8809";"0"
173;1.12507;"1619462141.6309";"0"
171;1.12635;"1619462141.1309";"0"
169;1.12251;"1619462140.6309";"0"
172;1.12507;"1619462141.3809";"0"
175;1.11995;"1619462142.1309";"0"
178;1.12764;"1619462142.8809";"0"
176;1.12251;"1619462142.3809";"0"
177;1.12251;"1619462142.6309";"0"
179;1.13276;"1619462143.1309";"0"
180;1.14173;"1619462143.3809";"0"
181;1.14685;"1619462143.6309";"0"
186;1.1635;"1619462144.8809";"0"
182;1.15326;"1619462143.8809";"0"
184;1.16991;"1619462144.3809";"0"
183;1.16094;"1619462144.1309";"0"
