"id";"value";"time";"read"
124;13.0989;"1619463445.296";"0"
121;13.1898;"1619463444.546";"0"
125;13.0899;"1619463445.546";"0"
123;13.1258;"1619463445.046";"0"
122;13.1591;"1619463444.796";"0"
126;13.0656;"1619463445.796";"0"
128;13.0195;"1619463446.296";"0"
132;12.9311;"1619463447.296";"0"
127;13.0349;"1619463446.046";"0"
130;12.9644;"1619463446.796";"0"
131;12.9542;"1619463447.046";"0"
129;12.9977;"1619463446.546";"0"
133;12.9209;"1619463447.546";"0"
137;12.8824;"1619463448.546";"0"
138;12.8658;"1619463448.796";"0"
135;12.8914;"1619463448.046";"0"
136;12.8927;"1619463448.296";"0"
134;12.8978;"1619463447.796";"0"
139;12.8619;"1619463449.046";"0"
142;12.8184;"1619463449.796";"0"
141;12.8274;"1619463449.546";"0"
143;12.8005;"1619463450.046";"0"
140;12.8453;"1619463449.296";"0"
144;12.7992;"1619463450.296";"0"
147;12.8107;"1619463451.046";"0"
149;12.8376;"1619463451.546";"0"
145;12.7877;"1619463450.546";"0"
148;12.8325;"1619463451.296";"0"
146;12.7864;"1619463450.796";"0"
150;12.8658;"1619463451.796";"0"
151;12.8709;"1619463452.046";"0"
155;12.9657;"1619463453.046";"0"
152;12.8645;"1619463452.296";"0"
153;12.8184;"1619463452.546";"0"
154;12.9247;"1619463452.796";"0"
156;12.9606;"1619463453.296";"0"
157;12.8901;"1619463453.546";"0"
159;12.7159;"1619463454.046";"0"
158;12.7403;"1619463453.796";"0"
162;12.6147;"1619463454.796";"0"
161;12.666;"1619463454.546";"0"
160;12.7018;"1619463454.296";"0"
163;12.6019;"1619463455.046";"0"
167;12.6224;"1619463456.046";"0"
166;12.6224;"1619463455.796";"0"
164;12.6045;"1619463455.296";"0"
165;12.6173;"1619463455.546";"0"
168;12.6199;"1619463456.296";"0"
169;12.6083;"1619463456.546";"0"
174;12.5533;"1619463457.796";"0"
171;12.5827;"1619463457.046";"0"
173;12.5635;"1619463457.546";"0"
170;12.5994;"1619463456.796";"0"
172;12.5699;"1619463457.296";"0"
180;12.4519;"1619463459.296";"0"
176;12.5084;"1619463458.296";"0"
177;12.5033;"1619463458.546";"0"
178;12.4854;"1619463458.796";"0"
179;12.4649;"1619463459.046";"0"
175;12.5328;"1619463458.046";"0"
185;12.4583;"1619463460.546";"0"
182;12.4481;"1619463459.796";"0"
184;12.4532;"1619463460.296";"0"
181;12.4493;"1619463459.546";"0"
183;12.4622;"1619463460.046";"0"
186;12.4686;"1619463460.796";"0"
192;12.4622;"1619463462.296";"0"
189;12.5108;"1619463461.546";"0"
191;12.4852;"1619463462.046";"0"
188;12.5121;"1619463461.296";"0"
187;12.5006;"1619463461.046";"0"
190;12.498;"1619463461.796";"0"
198;12.3123;"1619463463.796";"0"
197;12.3264;"1619463463.546";"0"
193;12.4289;"1619463462.546";"0"
196;12.3469;"1619463463.296";"0"
195;12.3687;"1619463463.046";"0"
194;12.4007;"1619463462.796";"0"
199;12.3059;"1619463464.046";"0"
201;12.2751;"1619463464.546";"0"
200;12.2931;"1619463464.296";"0"
204;12.2329;"1619463465.296";"0"
203;12.2418;"1619463465.046";"0"
202;12.2598;"1619463464.796";"0"
207;12.1855;"1619463466.046";"0"
210;12.1483;"1619463466.796";"0"
205;12.2149;"1619463465.546";"0"
206;12.2034;"1619463465.796";"0"
209;12.1599;"1619463466.546";"0"
208;12.1714;"1619463466.296";"0"
212;12.1343;"1619463467.296";"0"
213;12.1227;"1619463467.546";"0"
215;12.1022;"1619463468.046";"0"
214;12.1048;"1619463467.796";"0"
211;12.1419;"1619463467.046";"0"
216;12.0869;"1619463468.296";"0"
218;12.0676;"1619463468.796";"0"
220;12.0638;"1619463469.296";"0"
217;12.0779;"1619463468.546";"0"
222;12.1266;"1619463469.796";"0"
219;12.0625;"1619463469.046";"0"
221;12.083;"1619463469.546";"0"
227;12.1368;"1619463471.046";"0"
224;12.1663;"1619463470.296";"0"
223;12.1522;"1619463470.046";"0"
226;12.1509;"1619463470.796";"0"
228;12.1163;"1619463471.296";"0"
225;12.1714;"1619463470.546";"0"
230;12.0651;"1619463471.796";"0"
234;12.001;"1619463472.796";"0"
232;12.0382;"1619463472.296";"0"
231;12.0561;"1619463472.046";"0"
229;12.0881;"1619463471.546";"0"
233;12.0228;"1619463472.546";"0"
238;11.9468;"1619463473.796";"0"
240;11.9353;"1619463474.296";"0"
237;11.9558;"1619463473.546";"0"
239;11.9404;"1619463474.046";"0"
235;11.9882;"1619463473.046";"0"
236;11.9677;"1619463473.296";"0"
241;11.9289;"1619463474.546";"0"
243;11.9084;"1619463475.046";"0"
244;11.8931;"1619463475.296";"0"
245;11.8738;"1619463475.546";"0"
242;11.9174;"1619463474.796";"0"
246;11.87;"1619463475.796";"0"
250;12.0122;"1619463476.796";"0"
252;12.1095;"1619463477.296";"0"
248;11.8802;"1619463476.296";"0"
247;11.8687;"1619463476.046";"0"
249;11.9404;"1619463476.546";"0"
251;12.0749;"1619463477.046";"0"
253;12.1249;"1619463477.546";"0"
257;12.0429;"1619463478.546";"0"
254;12.1134;"1619463477.796";"0"
258;12.0032;"1619463478.796";"0"
255;12.1018;"1619463478.046";"0"
256;12.0672;"1619463478.296";"0"
262;12.1992;"1619463479.796";"0"
260;12.0032;"1619463479.296";"0"
263;12.2786;"1619463480.046";"0"
259;11.9763;"1619463479.046";"0"
261;12.1006;"1619463479.546";"0"
264;12.3375;"1619463480.296";"0"
268;12.2799;"1619463481.296";"0"
266;12.3657;"1619463480.796";"0"
270;12.1812;"1619463481.796";"0"
267;12.3234;"1619463481.046";"0"
265;12.3631;"1619463480.546";"0"
269;12.2274;"1619463481.546";"0"
271;12.1415;"1619463482.046";"0"
275;12.0583;"1619463483.046";"0"
272;12.1018;"1619463482.296";"0"
274;12.0608;"1619463482.796";"0"
273;12.0813;"1619463482.546";"0"
276;12.0429;"1619463483.296";"0"
279;11.9827;"1619463484.046";"0"
277;12.0147;"1619463483.546";"0"
280;11.9545;"1619463484.296";"0"
281;11.9392;"1619463484.546";"0"
282;11.9174;"1619463484.796";"0"
278;11.9968;"1619463483.796";"0"
283;11.9059;"1619463485.046";"0"
286;11.8444;"1619463485.796";"0"
288;11.8252;"1619463486.296";"0"
284;11.8892;"1619463485.296";"0"
285;11.8597;"1619463485.546";"0"
287;11.8316;"1619463486.046";"0"
291;11.8047;"1619463487.046";"0"
294;11.7829;"1619463487.796";"0"
292;11.7919;"1619463487.296";"0"
293;11.7791;"1619463487.546";"0"
290;11.8034;"1619463486.796";"0"
289;11.8149;"1619463486.546";"0"
295;11.7778;"1619463488.046";"0"
296;11.7752;"1619463488.296";"0"
298;11.7778;"1619463488.796";"0"
299;11.7778;"1619463489.046";"0"
297;11.7765;"1619463488.546";"0"
300;11.7765;"1619463489.296";"0"
306;11.7035;"1619463490.796";"0"
305;11.7189;"1619463490.546";"0"
304;11.7278;"1619463490.296";"0"
302;11.7522;"1619463489.796";"0"
301;11.7739;"1619463489.546";"0"
303;11.7496;"1619463490.046";"0"
307;11.692;"1619463491.046";"0"
311;11.6305;"1619463492.046";"0"
312;11.6177;"1619463492.296";"0"
310;11.6407;"1619463491.796";"0"
308;11.6689;"1619463491.296";"0"
309;11.6561;"1619463491.546";"0"
314;11.6113;"1619463492.796";"0"
315;11.592;"1619463493.046";"0"
316;11.5997;"1619463493.296";"0"
313;11.6113;"1619463492.546";"0"
318;11.5997;"1619463493.796";"0"
317;11.5908;"1619463493.546";"0"
322;11.984;"1619463494.796";"0"
321;11.8136;"1619463494.546";"0"
320;11.6996;"1619463494.296";"0"
319;11.6458;"1619463494.046";"0"
323;12.1505;"1619463495.046";"0"
324;12.2888;"1619463495.296";"0"
327;12.3388;"1619463496.046";"0"
326;12.3631;"1619463495.796";"0"
328;12.2914;"1619463496.296";"0"
330;12.1531;"1619463496.796";"0"
325;12.3516;"1619463495.546";"0"
329;12.2197;"1619463496.546";"0"
336;11.8597;"1619463498.296";"0"
332;12.0275;"1619463497.296";"0"
335;11.8866;"1619463498.046";"0"
333;11.9789;"1619463497.546";"0"
331;12.0839;"1619463497.046";"0"
334;11.9404;"1619463497.796";"0"
340;11.7688;"1619463499.296";"0"
338;11.8047;"1619463498.796";"0"
342;11.7304;"1619463499.796";"0"
337;11.8239;"1619463498.546";"0"
339;11.788;"1619463499.046";"0"
341;11.7445;"1619463499.546";"0"
345;11.6996;"1619463500.546";"0"
343;11.7253;"1619463500.046";"0"
346;11.674;"1619463500.796";"0"
347;11.6561;"1619463501.046";"0"
344;11.7048;"1619463500.296";"0"
348;11.6458;"1619463501.296";"0"
349;11.6305;"1619463501.546";"0"
353;11.578;"1619463502.546";"0"
351;11.5997;"1619463502.046";"0"
350;11.6151;"1619463501.796";"0"
354;11.5626;"1619463502.796";"0"
352;11.5946;"1619463502.296";"0"
359;11.4178;"1619463504.046";"0"
360;11.4826;"1619463504.296";"0"
357;11.6433;"1619463503.546";"0"
356;11.7483;"1619463503.296";"0"
358;11.4921;"1619463503.796";"0"
355;11.6561;"1619463503.046";"0"
361;11.4224;"1619463504.546";"0"
363;12.4438;"1619463505.046";"0"
362;12.0359;"1619463504.796";"0"
366;13.6292;"1619463505.796";"0"
365;13.1282;"1619463505.546";"0"
364;12.627;"1619463505.296";"0"
370;14.5603;"1619463506.796";"0"
369;14.3298;"1619463506.546";"0"
371;14.8004;"1619463507.046";"0"
368;14.153;"1619463506.296";"0"
367;14.1306;"1619463506.046";"0"
372;14.4738;"1619463507.296";"0"
377;14.4366;"1619463508.546";"0"
376;14.6249;"1619463508.296";"0"
373;14.7863;"1619463507.546";"0"
375;14.7697;"1619463508.046";"0"
374;14.8619;"1619463507.796";"0"
378;14.1945;"1619463508.796";"0"
384;12.9599;"1619463510.296";"0"
382;13.2827;"1619463509.796";"0"
383;13.111;"1619463510.046";"0"
381;13.4793;"1619463509.546";"0"
380;13.6983;"1619463509.296";"0"
379;13.9204;"1619463509.046";"0"
385;12.7953;"1619463510.546";"0"
388;12.4931;"1619463511.296";"0"
387;12.4867;"1619463511.046";"0"
390;13.1399;"1619463511.796";"0"
386;12.6365;"1619463510.796";"0"
389;12.7095;"1619463511.546";"0"
391;13.4114;"1619463512.046";"0"
394;13.5593;"1619463512.796";"0"
392;13.5011;"1619463512.296";"0"
396;13.7181;"1619463513.296";"0"
395;13.4773;"1619463513.046";"0"
393;13.6144;"1619463512.546";"0"
398;14.3272;"1619463513.796";"0"
399;14.463;"1619463514.046";"0"
402;14.3418;"1619463514.796";"0"
401;14.4597;"1619463514.546";"0"
400;14.4835;"1619463514.296";"0"
397;14.0307;"1619463513.546";"0"
404;13.8449;"1619463515.296";"0"
406;13.3999;"1619463515.796";"0"
408;13.2276;"1619463516.296";"0"
403;14.101;"1619463515.046";"0"
405;13.5766;"1619463515.546";"0"
407;13.3262;"1619463516.046";"0"
411;13.0739;"1619463517.046";"0"
413;13.0457;"1619463517.546";"0"
409;13.1482;"1619463516.546";"0"
412;13.0598;"1619463517.296";"0"
414;13.0226;"1619463517.796";"0"
410;13.0956;"1619463516.796";"0"
420;13.0208;"1619463519.296";"0"
418;12.9926;"1619463518.796";"0"
416;12.9881;"1619463518.296";"0"
415;13.0073;"1619463518.046";"0"
417;12.9778;"1619463518.546";"0"
419;13.0028;"1619463519.046";"0"
426;13.3218;"1619463520.796";"0"
425;13.259;"1619463520.546";"0"
424;13.1706;"1619463520.296";"0"
423;13.0746;"1619463520.046";"0"
421;13.0387;"1619463519.546";"0"
422;13.04;"1619463519.796";"0"
429;13.487;"1619463521.546";"0"
432;13.4966;"1619463522.296";"0"
428;13.4409;"1619463521.296";"0"
430;13.5222;"1619463521.796";"0"
431;13.5196;"1619463522.046";"0"
427;13.3858;"1619463521.046";"0"
435;13.3185;"1619463523.046";"0"
434;13.4018;"1619463522.796";"0"
436;13.111;"1619463523.296";"0"
437;12.9227;"1619463523.546";"0"
433;13.4517;"1619463522.546";"0"
438;12.9157;"1619463523.796";"0"
440;12.8248;"1619463524.296";"0"
443;12.4995;"1619463525.046";"0"
442;12.9286;"1619463524.796";"0"
441;12.8479;"1619463524.546";"0"
439;12.8773;"1619463524.046";"0"
444;12.6173;"1619463525.296";"0"
447;12.6825;"1619463526.046";"0"
448;12.6735;"1619463526.296";"0"
446;12.6351;"1619463525.796";"0"
449;12.662;"1619463526.546";"0"
450;12.6799;"1619463526.796";"0"
445;12.4341;"1619463525.546";"0"
451;12.6197;"1619463527.046";"0"
456;12.2418;"1619463528.296";"0"
453;12.7004;"1619463527.546";"0"
455;12.3072;"1619463528.046";"0"
454;12.4686;"1619463527.796";"0"
452;12.6351;"1619463527.296";"0"
457;12.2226;"1619463528.546";"0"
458;12.4391;"1619463528.796";"0"
461;12.3994;"1619463529.546";"0"
462;12.311;"1619463529.796";"0"
460;12.3302;"1619463529.296";"0"
459;12.5441;"1619463529.046";"0"
465;12.3264;"1619463530.546";"0"
466;12.3315;"1619463530.796";"0"
463;12.0433;"1619463530.046";"0"
464;12.2406;"1619463530.296";"0"
468;12.3225;"1619463531.296";"0"
467;12.3123;"1619463531.046";"0"
473;12.288;"1619463532.546";"0"
470;12.1688;"1619463531.796";"0"
472;12.2559;"1619463532.296";"0"
471;12.1535;"1619463532.046";"0"
474;12.2828;"1619463532.796";"0"
469;12.2982;"1619463531.546";"0"
476;12.2816;"1619463533.296";"0"
479;12.2611;"1619463534.046";"0"
477;12.2751;"1619463533.546";"0"
475;12.2841;"1619463533.046";"0"
480;12.2495;"1619463534.296";"0"
478;12.2611;"1619463533.796";"0"
481;12.2342;"1619463534.546";"0"
482;12.2278;"1619463534.796";"0"
486;12.2098;"1619463535.796";"0"
484;12.2226;"1619463535.296";"0"
485;12.2188;"1619463535.546";"0"
483;12.2175;"1619463535.046";"0"
492;12.1868;"1619463537.296";"0"
489;12.1996;"1619463536.546";"0"
491;12.1868;"1619463537.046";"0"
487;12.206;"1619463536.046";"0"
490;12.1906;"1619463536.796";"0"
488;12.2034;"1619463536.296";"0"
495;12.1778;"1619463538.046";"0"
494;12.1791;"1619463537.796";"0"
497;12.1701;"1619463538.546";"0"
493;12.1919;"1619463537.546";"0"
496;12.1778;"1619463538.296";"0"
498;12.156;"1619463538.796";"0"
501;12.2854;"1619463539.546";"0"
499;12.1573;"1619463539.046";"0"
502;12.6325;"1619463539.796";"0"
504;13.5498;"1619463540.296";"0"
503;13.0821;"1619463540.046";"0"
500;12.1599;"1619463539.296";"0"
507;14.2119;"1619463541.046";"0"
508;14.1812;"1619463541.296";"0"
506;14.0819;"1619463540.796";"0"
510;13.9711;"1619463541.796";"0"
509;14.0723;"1619463541.546";"0"
505;13.9308;"1619463540.546";"0"
511;13.7816;"1619463542.046";"0"
516;13.2737;"1619463543.296";"0"
513;13.5177;"1619463542.546";"0"
515;13.3416;"1619463543.046";"0"
514;13.4152;"1619463542.796";"0"
512;13.6522;"1619463542.296";"0"
520;13.1046;"1619463544.296";"0"
522;13.0483;"1619463544.796";"0"
517;13.216;"1619463543.546";"0"
519;13.1379;"1619463544.046";"0"
521;13.0777;"1619463544.546";"0"
518;13.1751;"1619463543.796";"0"
526;12.9701;"1619463545.796";"0"
527;12.9619;"1619463546.046";"0"
523;13.0201;"1619463545.046";"0"
525;12.9842;"1619463545.546";"0"
528;12.9516;"1619463546.296";"0"
524;13.0085;"1619463545.296";"0"
532;12.9234;"1619463547.296";"0"
533;12.9081;"1619463547.546";"0"
529;12.9465;"1619463546.546";"0"
531;12.9324;"1619463547.046";"0"
530;12.9401;"1619463546.796";"0"
534;12.8978;"1619463547.796";"0"
536;12.9478;"1619463548.296";"0"
540;13.2667;"1619463549.296";"0"
537;13.0515;"1619463548.546";"0"
535;12.894;"1619463548.046";"0"
539;13.2193;"1619463549.046";"0"
538;13.1425;"1619463548.796";"0"
541;13.2744;"1619463549.546";"0"
544;13.1758;"1619463550.296";"0"
