"id";"value";"time";"read"
4;1.62083;"1619466633.7256";"0"
2;0.835227;"1619466633.2256";"0"
1;9.61882e-09;"1619466632.9756";"0"
6;1.8054;"1619466634.2256";"0"
5;1.76568;"1619466633.9756";"0"
3;1.18265;"1619466633.4756";"0"
7;1.82461;"1619466634.4756";"0"
9;1.90403;"1619466634.9756";"0"
10;1.93862;"1619466635.2256";"0"
11;1.96316;"1619466635.4756";"0"
8;1.85536;"1619466634.7256";"0"
12;1.99391;"1619466635.7256";"0"
15;2.04515;"1619466636.4756";"0"
17;2.03746;"1619466636.9756";"0"
13;2.02081;"1619466635.9756";"0"
18;2.02977;"1619466637.2256";"0"
16;2.0413;"1619466636.7256";"0"
14;2.03234;"1619466636.2256";"0"
21;2.01568;"1619466637.9756";"0"
23;2.00415;"1619466638.4756";"0"
19;2.03105;"1619466637.4756";"0"
20;2.02337;"1619466637.7256";"0"
22;2.00543;"1619466638.2256";"0"
24;1.99775;"1619466638.7256";"0"
26;1.98878;"1619466639.2256";"0"
28;1.98366;"1619466639.7256";"0"
25;1.99262;"1619466638.9756";"0"
29;1.97341;"1619466639.9756";"0"
30;1.97341;"1619466640.2256";"0"
27;1.99006;"1619466639.4756";"0"
34;1.96828;"1619466641.2256";"0"
31;1.97597;"1619466640.4756";"0"
35;1.96444;"1619466641.4756";"0"
36;1.96957;"1619466641.7256";"0"
32;1.97597;"1619466640.7256";"0"
33;1.97597;"1619466640.9756";"0"
37;1.967;"1619466641.9756";"0"
38;1.96316;"1619466642.2256";"0"
41;1.96828;"1619466642.9756";"0"
40;1.95547;"1619466642.7256";"0"
39;1.95676;"1619466642.4756";"0"
42;1.97341;"1619466643.2256";"0"
44;1.99134;"1619466643.7256";"0"
43;1.9811;"1619466643.4756";"0"
45;1.99391;"1619466643.9756";"0"
46;2.00928;"1619466644.2256";"0"
48;2.03874;"1619466644.7256";"0"
47;2.02209;"1619466644.4756";"0"
49;2.07333;"1619466644.9756";"0"
51;2.14763;"1619466645.4756";"0"
54;2.25139;"1619466646.2256";"0"
50;2.11048;"1619466645.2256";"0"
52;2.1899;"1619466645.7256";"0"
53;2.22321;"1619466645.9756";"0"
57;2.2437;"1619466646.9756";"0"
59;2.24114;"1619466647.4756";"0"
56;2.24627;"1619466646.7256";"0"
55;2.25523;"1619466646.4756";"0"
58;2.24242;"1619466647.2256";"0"
60;2.23474;"1619466647.7256";"0"
63;2.22065;"1619466648.4756";"0"
64;2.19246;"1619466648.7256";"0"
61;2.23346;"1619466647.9756";"0"
62;2.22193;"1619466648.2256";"0"
66;2.163;"1619466649.2256";"0"
65;2.17709;"1619466648.9756";"0"
69;2.14507;"1619466649.9756";"0"
71;2.13994;"1619466650.4756";"0"
70;2.14122;"1619466650.2256";"0"
68;2.1566;"1619466649.7256";"0"
67;2.15531;"1619466649.4756";"0"
72;2.13097;"1619466650.7256";"0"
74;2.12073;"1619466651.2256";"0"
78;2.11432;"1619466652.2256";"0"
77;2.10792;"1619466651.9756";"0"
73;2.12713;"1619466650.9756";"0"
75;2.12329;"1619466651.4756";"0"
76;2.11816;"1619466651.7256";"0"
80;2.10664;"1619466652.7256";"0"
83;2.11432;"1619466653.4756";"0"
81;2.11304;"1619466652.9756";"0"
82;2.1092;"1619466653.2256";"0"
84;2.11048;"1619466653.7256";"0"
79;2.11304;"1619466652.4756";"0"
86;2.11176;"1619466654.2256";"0"
90;2.13354;"1619466655.2256";"0"
88;2.12585;"1619466654.7256";"0"
85;2.10792;"1619466653.9756";"0"
87;2.11176;"1619466654.4756";"0"
89;2.12969;"1619466654.9756";"0"
91;2.13866;"1619466655.4756";"0"
94;2.14122;"1619466656.2256";"0"
95;2.13994;"1619466656.4756";"0"
92;2.14378;"1619466655.7256";"0"
93;2.14763;"1619466655.9756";"0"
96;2.13994;"1619466656.7256";"0"
102;2.11816;"1619466658.2256";"0"
98;2.13482;"1619466657.2256";"0"
101;2.12201;"1619466657.9756";"0"
99;2.13226;"1619466657.4756";"0"
97;2.13482;"1619466656.9756";"0"
100;2.12457;"1619466657.7256";"0"
104;2.11176;"1619466658.7256";"0"
103;2.11816;"1619466658.4756";"0"
106;2.10792;"1619466659.2256";"0"
107;2.11176;"1619466659.4756";"0"
108;2.11304;"1619466659.7256";"0"
105;2.1156;"1619466658.9756";"0"
112;2.11816;"1619466660.7256";"0"
113;2.12073;"1619466660.9756";"0"
109;2.10664;"1619466659.9756";"0"
111;2.1156;"1619466660.4756";"0"
110;2.11816;"1619466660.2256";"0"
114;2.12585;"1619466661.2256";"0"
118;2.11688;"1619466662.2256";"0"
115;2.12585;"1619466661.4756";"0"
116;2.12713;"1619466661.7256";"0"
117;2.11816;"1619466661.9756";"0"
119;2.11816;"1619466662.4756";"0"
120;2.11432;"1619466662.7256";"0"
122;2.11176;"1619466663.2256";"0"
123;2.10279;"1619466663.4756";"0"
125;2.10151;"1619466663.9756";"0"
121;2.11176;"1619466662.9756";"0"
126;2.09639;"1619466664.2256";"0"
124;2.10151;"1619466663.7256";"0"
127;2.10023;"1619466664.4756";"0"
129;2.10023;"1619466664.9756";"0"
130;2.10535;"1619466665.2256";"0"
128;2.09511;"1619466664.7256";"0"
132;2.11304;"1619466665.7256";"0"
131;2.10407;"1619466665.4756";"0"
134;2.11432;"1619466666.2256";"0"
135;2.11432;"1619466666.4756";"0"
136;2.12073;"1619466666.7256";"0"
133;2.1156;"1619466665.9756";"0"
138;2.11304;"1619466667.2256";"0"
137;2.11432;"1619466666.9756";"0"
140;2.1092;"1619466667.7256";"0"
139;2.11048;"1619466667.4756";"0"
141;2.10407;"1619466667.9756";"0"
144;2.11048;"1619466668.7256";"0"
143;2.10664;"1619466668.4756";"0"
142;2.10664;"1619466668.2256";"0"
146;2.09767;"1619466669.2256";"0"
147;2.09639;"1619466669.4756";"0"
145;2.10151;"1619466668.9756";"0"
148;2.09639;"1619466669.7256";"0"
149;2.09639;"1619466669.9756";"0"
150;2.08486;"1619466670.2256";"0"
151;2.08998;"1619466670.4756";"0"
153;2.11048;"1619466670.9756";"0"
156;2.11688;"1619466671.7256";"0"
152;2.09639;"1619466670.7256";"0"
154;2.1156;"1619466671.2256";"0"
155;2.11688;"1619466671.4756";"0"
159;2.10792;"1619466672.4756";"0"
160;2.1092;"1619466672.7256";"0"
158;2.11432;"1619466672.2256";"0"
161;2.10664;"1619466672.9756";"0"
157;2.11945;"1619466671.9756";"0"
162;2.10535;"1619466673.2256";"0"
163;2.10407;"1619466673.4756";"0"
164;2.1092;"1619466673.7256";"0"
167;2.1899;"1619466674.4756";"0"
165;2.13226;"1619466673.9756";"0"
168;2.23218;"1619466674.7256";"0"
166;2.1566;"1619466674.2256";"0"
